timestamp_utc,attack_uid,phase,target_url,http_code,latency_s
2026-05-02T19:43:13Z,D-T0814-1,T0814,http://10.10.0.153:8080/,404,0.000529
2026-05-02T19:43:20Z,D-T0860-1,pre,http://10.10.0.154:8080/,404,0.000541
2026-05-02T19:43:21Z,D-T0860-1,post,http://10.10.0.154:8080/,404,0.000675
2026-05-02T19:43:39Z,D-T0814-2,T0814,http://10.10.0.153:8080/,404,0.000621
2026-05-02T19:43:46Z,D-T0860-2,pre,http://10.10.0.154:8080/,404,0.000749
2026-05-02T19:43:48Z,D-T0860-2,post,http://10.10.0.154:8080/,404,0.000438
2026-05-02T19:44:06Z,D-T0814-3,T0814,http://10.10.0.153:8080/,404,0.000517
2026-05-02T19:44:14Z,D-T0860-3,pre,http://10.10.0.154:8080/,404,0.000490
2026-05-02T19:44:15Z,D-T0860-3,post,http://10.10.0.154:8080/,404,0.000505
2026-05-02T19:44:33Z,D-T0814-4,T0814,http://10.10.0.153:8080/,404,0.000589
2026-05-02T19:44:41Z,D-T0860-4,pre,http://10.10.0.154:8080/,404,0.000532
2026-05-02T19:44:43Z,D-T0860-4,post,http://10.10.0.154:8080/,404,0.000741
2026-05-02T19:45:03Z,D-T0814-5,T0814,http://10.10.0.153:8080/,404,0.000507
2026-05-02T19:45:12Z,D-T0860-5,pre,http://10.10.0.154:8080/,404,0.000629
2026-05-02T19:45:14Z,D-T0860-5,post,http://10.10.0.154:8080/,404,0.000414
2026-05-02T19:45:35Z,D-T0814-6,T0814,http://10.10.0.153:8080/,404,0.000581
2026-05-02T19:45:41Z,D-T0860-6,pre,http://10.10.0.154:8080/,404,0.000565
2026-05-02T19:45:44Z,D-T0860-6,post,http://10.10.0.154:8080/,404,0.000687
2026-05-02T19:46:03Z,D-T0814-7,T0814,http://10.10.0.153:8080/,404,0.000641
2026-05-02T19:46:10Z,D-T0860-7,pre,http://10.10.0.154:8080/,404,0.000537
2026-05-02T19:46:11Z,D-T0860-7,post,http://10.10.0.154:8080/,404,0.000576
2026-05-02T19:46:30Z,D-T0814-8,T0814,http://10.10.0.153:8080/,404,0.000525
2026-05-02T19:46:37Z,D-T0860-8,pre,http://10.10.0.154:8080/,404,0.000563
2026-05-02T19:46:39Z,D-T0860-8,post,http://10.10.0.154:8080/,404,0.000482
2026-05-02T19:46:58Z,D-T0814-9,T0814,http://10.10.0.153:8080/,404,0.000598
2026-05-02T19:47:04Z,D-T0860-9,pre,http://10.10.0.154:8080/,404,0.000518
2026-05-02T19:47:06Z,D-T0860-9,post,http://10.10.0.154:8080/,404,0.000475
2026-05-02T19:47:27Z,D-T0814-10,T0814,http://10.10.0.153:8080/,404,0.000595
2026-05-02T19:47:35Z,D-T0860-10,pre,http://10.10.0.154:8080/,404,0.000612
2026-05-02T19:47:38Z,D-T0860-10,post,http://10.10.0.154:8080/,404,0.000591
2026-05-02T19:47:58Z,D-T0814-11,T0814,http://10.10.0.153:8080/,404,0.000516
2026-05-02T19:48:05Z,D-T0860-11,pre,http://10.10.0.154:8080/,404,0.000570
2026-05-02T19:48:07Z,D-T0860-11,post,http://10.10.0.154:8080/,404,0.000508
2026-05-02T19:48:28Z,D-T0814-12,T0814,http://10.10.0.153:8080/,404,0.000544
2026-05-02T19:48:35Z,D-T0860-12,pre,http://10.10.0.154:8080/,404,0.000522
